staus,Partner,Last Created,Partner Total Count,Last Created Count,Not inserted count,Past Events Count,Duplicates,Venue not found,Source File,dropbox path,Frequency,Server,Reason,Path,Api link,status,type,Crawl,check fuzzy not match,check code,
,seeticket-pt,2026-05-19 9:22:05,1337,346,564,,,,/var/www/html/admin/administrator/components/com_events_venue/seeticket-PT/datafeed_139743.csv,https://www.dropbox.com/scl/fi/pywqzkmz8pt8411kpt28t/seeticket-pt.xlsx?rlkey=5f9026snxo5twejud98gf9ss8&st=po3dfmil&dl=0,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/seeticket-PT/insert_events.php,,,feed,no,,,
,showclix,2020-02-15 0:10:56,21,18,,,,,,,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/showclix/insert_event.php,,,,,,,
,showpass,2026-07-24 23:28:16,3561,1415,1832,,,,/var/www/html/admin/administrator/components/com_events_venue/showpass/csv/Get_Showcase_events.csv,https://www.dropbox.com/scl/fi/n08rjaphru3fsvln8d0qo/showpass.xlsx?rlkey=fm1cp5nn7r49qsa7vsfjg11vd&st=6uytex3p&dl=0,New Partner Need to add in details file,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/showpass/insertEvent.php,,,feed,done,,,
Sidearm data is scraped during the college-sports scraping process.,sidearms,2026-05-17 0:01:01,16,1,51443,,,,"/home/fcampbell/eventPartner/sidearms/artist/added_artist_id_apr7.csv
/home/fcampbell/eventPartner/sidearms/csv/sidearms_186.csv",https://www.dropbox.com/scl/fi/rsmzcp606a4798qk6iitm/sidearms.xlsx?rlkey=arqoc8mqh9ej4zyv8mttvk9nk&st=3o54l2pv&dl=0,weekly (manualy),3.94.49.56,,/home/fcampbell/eventPartner/sidearms/insert_events.php,,,feed,No (Manual),https://drive.google.com/drive/folders/1hSYFGKuuezIEffg4FIkQO9oy-RjfE9iK,,
,simpletix,2026-07-26 0:01:01,6314,5,14517,,,,/home/fcampbell/eventPartner_174/simpletix/InsertEvent.php,https://www.dropbox.com/scl/fi/ayrcgwgovo4dw5w3kg73o/simpletix.xlsx?rlkey=5di4kebk5x5hga1hyzh8nvf4d&st=spscuoap&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/simpletix/InsertEvent.php,,,feed,done,,,
running,skiddle,2026-07-28 23:46:46,14385,3124,14537,,,,/var/www/html/admin/administrator/components/com_events_venue/skiddle/all.xml,https://www.dropbox.com/scl/fi/xlt3x5oiwthw04h1e2nw1/skiddle.xlsx?rlkey=0s1xqgy8xcw9g2ry38pgwfu4n&st=suclw8ie&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/skiddle/insertEvents-skiddle.php,,,feed,no,,,
,SportsEvents365,2026-07-27 7:17:57,6353,2657,648,,,,/var/www/html/admin/administrator/components/com_events_venue/sportsEvent/insertEvents-sportsEvent.php,https://www.dropbox.com/scl/fi/wr564evu7itm743i0trr7/SportsEvents365.xlsx?rlkey=jhwa1ip9vz6vga4zh3g4w6a7b&st=b3874zoz&dl=0,,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/sportsEvent/insertEvents-sportsEvent.php,,,feed,done,,,
need to check not inserted,starticket,2025-03-04 4:54:23,2,1,4,,,,/var/www/html/admin/administrator/components/com_events_venue/starticket/starticket.xml,https://www.dropbox.com/scl/fi/z01dqxda110bv0yvgp3y9/starticket.xlsx?rlkey=7ro6af8rm70vt4289gu9lcddu&st=3dd744f0&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/starticket/insertEvents-starticket.php,,,feed,done,,,
,strangertickets,2026-07-28 7:29:46,205,87,99,,,,/home/fcampbell/eventPartner_174/stranger/insertEvents-Stranger.php,https://www.dropbox.com/scl/fi/z8p5kfjal0fhg9yu5u2vf/strangertickets.xlsx?rlkey=mx8wioi9nha9ufnyos1ebxseg&st=jsydyiuk&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/stranger/insertEvents-Stranger.php,,,scraping,done,,,
,stubhub,2026-07-25 9:39:00,16315,4717,1032,,,,"/home/fcampbell/eventPartner_174/stubhub/csv/Match-events-details-Stubhub_IE.csv
/home/fcampbell/eventPartner_174/stubhub/csv/Match-events-details-stubhub_co_uk.csv",https://www.dropbox.com/scl/fi/vbc48bvshx551i515jvtv/stubhub.xlsx?rlkey=8a52ucxj471xb3ibaos0opj81&st=fj0v2l7s&dl=0,Weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/stubhub/insertEvents_stubhub.php,,,feed,no,,,
